Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
33.0,Yes,Travel_Frequently,,3.0,Life Sciences,1,Male,3,1,Research Scientist,1.0,3348.0,1,Yes,11,3,10
,Yes,Travel_Rarely,Sales,4.0,Medical,4,Male,1,3,Sales Executive,4.0,,1,No,11,3,14
40.0,Yes,Travel_Rarely,Research & Development,9.0,Life Sciences,4,Male,3,1,Laboratory Technician,1.0,2018.0,3,No,14,3,5
42.0,No,Travel_Rarely,Research & Development,,Medical,2,Female,4,2,Research Scientist,2.0,2372.0,6,Yes,16,3,1
43.0,No,Travel_Frequently,Research & Development,27.0,Life Sciences,3,Female,3,3,Manufacturing Director,1.0,10820.0,8,No,11,3,8
35.0,No,Travel_Rarely,Human Resources,8.0,Technical Degree,3,Male,3,1,Human Resources,3.0,4323.0,1,No,17,3,5
,No,Travel_Frequently,Research & Development,3.0,Life Sciences,1,Male,3,2,Healthcare Representative,4.0,7756.0,0,No,17,3,6
30.0,No,Travel_Frequently,Research & Development,2.0,Technical Degree,4,Female,2,1,Research Scientist,1.0,4968.0,0,No,16,3,9
37.0,No,Travel_Rarely,Sales,6.0,Medical,3,Male,3,2,Sales Executive,4.0,,4,No,14,3,5
26.0,Yes,Travel_Frequently,Human Resources,,Life Sciences,2,Female,3,1,Human Resources,3.0,2741.0,0,Yes,11,3,7
38.0,No,,,2.0,Life Sciences,1,Female,4,2,Manufacturing Director,,5980.0,6,Yes,12,3,15
,No,Travel_Rarely,Sales,4.0,Marketing,2,Male,3,2,Sales Executive,1.0,5155.0,7,No,13,3,6
,No,Travel_Frequently,Research & Development,2.0,Life Sciences,4,Male,3,1,Laboratory Technician,4.0,3068.0,0,No,13,3,7
42.0,No,,Human Resources,2.0,Technical Degree,3,Male,3,1,Human Resources,3.0,2696.0,0,Yes,11,3,3
33.0,No,Travel_Frequently,,7.0,Medical,4,Male,3,2,Sales Executive,1.0,4373.0,0,No,14,3,4
29.0,No,,Research & Development,1.0,Life Sciences,4,Female,2,4,Research Director,4.0,16124.0,3,No,14,3,7
36.0,No,Travel_Rarely,Research & Development,14.0,Life Sciences,3,Male,3,2,Healthcare Representative,,,0,Yes,17,3,16
42.0,No,Travel_Rarely,Research & Development,17.0,Life Sciences,4,Female,4,2,Research Scientist,1.0,,3,Yes,13,3,3
37.0,No,Travel_Rarely,Research & Development,14.0,Life Sciences,4,Female,3,1,Laboratory Technician,1.0,3034.0,1,No,12,3,18
33.0,No,Travel_Frequently,Sales,5.0,Life Sciences,2,Male,3,2,Sales Executive,4.0,9998.0,6,No,13,3,5
,No,Travel_Rarely,Research & Development,1.0,Life Sciences,4,Female,3,1,Research Scientist,,2115.0,1,No,12,3,17
37.0,Yes,Travel_Rarely,Sales,1.0,Life Sciences,1,Male,2,3,Sales Executive,3.0,10609.0,5,No,11,3,14
55.0,No,Travel_Rarely,,8.0,Medical,4,Female,3,4,Manager,3.0,14756.0,2,Yes,14,3,5
37.0,Yes,Travel_Rarely,Research & Development,11.0,Medical,1,Female,1,2,Healthcare Representative,2.0,4777.0,5,No,15,3,1
35.0,Yes,Travel_Rarely,Research & Development,23.0,Life Sciences,2,Male,2,2,Manufacturing Director,3.0,5916.0,3,Yes,13,3,1
32.0,Yes,Travel_Frequently,Research & Development,5.0,Life Sciences,1,Female,4,1,Research Scientist,3.0,2432.0,3,Yes,14,3,4
,No,Travel_Rarely,,,Life Sciences,2,Female,4,1,Research Scientist,4.0,3280.0,2,No,16,3,4
40.0,Yes,Non-Travel,,24.0,Life Sciences,2,Female,4,4,Sales Executive,2.0,13194.0,4,Yes,16,3,1
35.0,No,,Research & Development,4.0,Other,3,Male,3,1,Laboratory Technician,4.0,1951.0,1,No,12,3,1
31.0,Yes,Travel_Frequently,,,Life Sciences,4,Female,3,1,Research Scientist,3.0,4084.0,1,No,12,3,7
31.0,No,Travel_Rarely,Research & Development,11.0,Medical,3,Male,3,2,Healthcare Representative,1.0,6833.0,1,Yes,12,3,6
36.0,Yes,Travel_Rarely,,3.0,Life Sciences,3,Male,2,3,Sales Executive,4.0,10325.0,1,Yes,11,3,16
30.0,Yes,Travel_Frequently,Sales,26.0,Marketing,3,Female,2,2,Sales Executive,1.0,6696.0,5,No,15,3,6
34.0,No,Travel_Rarely,Research & Development,29.0,Medical,2,Male,3,2,Laboratory Technician,3.0,5429.0,4,No,13,3,8
27.0,No,Travel_Frequently,Research & Development,1.0,Technical Degree,3,Male,2,2,Manufacturing Director,1.0,4298.0,5,No,19,3,2
36.0,No,Travel_Frequently,Research & Development,3.0,Medical,4,Male,3,1,Laboratory Technician,2.0,2088.0,4,No,12,3,8
27.0,Yes,Travel_Rarely,Research & Development,17.0,Life Sciences,4,Female,3,1,Research Scientist,3.0,2394.0,1,Yes,13,3,8
31.0,Yes,Travel_Rarely,Human Resources,18.0,Human Resources,4,Male,4,1,Human Resources,1.0,2956.0,0,No,17,3,1
56.0,Yes,Travel_Rarely,Research & Development,7.0,Technical Degree,4,Male,3,1,Laboratory Technician,3.0,2339.0,8,No,11,3,10
33.0,Yes,Travel_Rarely,Research & Development,14.0,Medical,3,Male,3,1,Laboratory Technician,4.0,2436.0,5,Yes,13,3,5
37.0,Yes,Travel_Rarely,Research & Development,11.0,Medical,1,Female,1,2,Healthcare Representative,2.0,4777.0,5,No,15,3,1
33.0,Yes,Travel_Rarely,Research & Development,15.0,Medical,2,Male,3,3,Manager,3.0,13610.0,7,Yes,12,3,7
37.0,No,Travel_Rarely,Research & Development,,Life Sciences,3,Male,3,1,Research Scientist,3.0,2996.0,7,Yes,15,3,6
30.0,Yes,Travel_Rarely,,,Life Sciences,2,Male,2,2,Sales Executive,1.0,9714.0,1,No,11,3,10
24.0,No,Travel_Rarely,Research & Development,29.0,Medical,2,Male,3,1,Laboratory Technician,1.0,3907.0,1,No,13,3,6
42.0,Yes,Travel_Frequently,Research & Development,19.0,Medical,3,Male,4,1,Research Scientist,3.0,2759.0,6,Yes,12,3,2
38.0,No,Travel_Frequently,Research & Development,1.0,Life Sciences,4,Male,3,2,Research Scientist,4.0,4735.0,7,No,15,3,13
31.0,No,Travel_Rarely,Research & Development,7.0,Medical,2,Female,3,2,Manufacturing Director,1.0,4306.0,1,No,12,3,13
