Individual ,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age1,MonthlyIncome1
Ind1,Yes,41,1,1102,1,1,2,1,1,1,2,2,94,3,2,1,4,1,5993,19479,8,1,11,3,1,80,0,8,0,1,6,4,0,5,43.1,8952.576428891334
Ind2,No,49,2,279,2,8,1,1,1,2,3,1,61,2,2,2,2,2,5130,24907,1,2,23,4,4,80,1,10,3,3,10,7,1,7,42.4,15078.533313871872
Ind3,Yes,37,1,1373,2,2,2,6,1,4,4,1,92,2,1,3,3,1,2090,2396,6,1,15,3,2,80,0,7,3,3,0,0,0,0,41.2,8937.969053613768
Ind4,No,33,2,1392,2,3,4,1,1,5,4,2,56,3,1,2,3,2,2909,23159,1,1,11,3,3,80,0,8,3,3,8,7,3,0,32.0,10895.094251427225
Ind5,No,27,1,591,2,2,1,2,1,7,1,1,40,3,1,3,2,2,3468,16632,9,2,12,3,4,80,1,6,3,3,2,2,2,2,32.0,13826.52040876575
Ind6,No,32,2,1005,2,2,2,1,1,8,4,1,79,3,1,3,4,1,3068,11864,0,2,13,3,3,80,0,8,2,2,7,7,3,6,29.3,12656.722549755437
Ind7,No,59,1,1324,2,3,3,2,1,10,3,2,81,4,1,3,1,2,2670,9964,4,1,20,4,1,80,3,12,3,2,1,0,0,0,30.6,13880.932806372652
Ind8,No,30,1,1358,2,24,1,1,1,11,4,1,67,3,1,3,3,3,2693,13335,1,2,22,4,2,80,1,1,2,3,1,0,0,0,31.6,11376.407497747701
Ind9,No,38,2,216,2,23,3,1,1,12,4,1,44,2,3,4,3,1,9526,8787,0,2,21,4,2,80,0,10,2,3,9,7,1,8,34.5,15119.34915817147
Ind10,No,36,1,1299,2,27,3,2,1,13,3,1,94,3,2,5,3,2,5237,16577,6,2,13,3,2,80,2,17,3,2,7,7,7,7,43.4,10148.166811199813
Ind11,No,35,1,809,2,16,3,2,1,14,1,1,84,4,1,3,2,2,2426,16479,0,2,13,3,3,80,1,6,5,3,5,4,0,3,42.2,10096.942464827995
Ind12,No,29,1,153,2,15,2,1,1,15,4,2,49,2,2,3,3,1,4193,12682,0,1,12,3,4,80,0,10,3,3,9,5,0,8,35.9,12874.295596828972
Ind13,No,31,1,670,2,26,1,1,1,16,1,1,31,3,1,2,3,3,2911,15170,1,2,17,3,4,80,1,5,1,2,5,2,4,3,32.4,11237.929099038482
