Country,Status,Adult_Mortality,Infant_Deaths,Hepatitis ,Measles , BMI ,Underfive_Deaths ,Polio,Diphtheria , HIV,GDP,Population,Malnourished10_19 ,Malnourished5_9,Income_Index,Schooling,Expected
Afghanistan,Developing,263,62,65,1154,19.1,83,6,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1,65
Albania,Developing,8,0,98,0,57.2,1,98,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2,77.5
Algeria,Developing,19,21,95,63,59.5,24,95,95,0.1,4132.76292,39871528,6,5.8,0.743,14.4,75.6
Angola,Developing,335,66,64,118,23.3,98,7,64,1.9,3695.793748,2785935,8.3,8.2,0.531,11.4,52.4
Argentina,Developing,116,8,94,0,62.8,9,93,94,0.1,13467.1236,43417765,1,0.9,0.826,17.3,76.3
Armenia,Developing,118,1,94,33,54.9,1,96,94,0.1,369.654776,291695,2.1,2.2,0.741,12.7,74.8
Australia,Developed,59,1,93,74,66.6,1,93,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4,82.8
Austria,Developed,65,0,93,309,57.6,0,93,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9,81.5
Azerbaijan,Developing,118,5,96,0,52.5,6,98,96,0.1,55.31382,9649341,2.8,2.9,0.758,12.7,72.7
Bahrain,Developing,69,0,98,0,63.6,0,98,98,0.1,22688.87824,1378188,6.2,6.1,0.823,14.5,76.9
Bangladesh,Developing,129,92,97,240,18.3,113,97,97,0.1,121.15812,1612886,17.9,18.3,0.575,10.2,71.8
Barbados,Developing,98,0,97,0,54.5,0,97,97,0.1,15557.8381,276633,3.8,3.7,0.794,15.3,75.5
Belarus,Developing,196,0,99,2,62.3,0,99,99,0.1,5949.11677,9489616,1.9,2,0.798,15.6,72.3
Belgium,Developed,74,0,98,47,63.7,1,99,99,0.1,4356.875,11274196,1,1,0.895,16.6,81.1
Belize,Developing,175,0,94,0,5.9,0,94,94,0.2,4849.997495,359288,3.5,3.4,0.706,12.8,71
Benin,Developing,249,25,82,55,25.7,39,78,82,1,783.94791,1575952,6.9,6.8,0.481,10.7,60
Bhutan,Developing,211,0,99,11,24.5,0,98,99,0.5,2613.645177,787386,15.4,16,0.604,12.5,69.8
Bosnia,Developing,88,0,82,1677,55.8,0,74,82,0.1,4574.9787,3535961,2.3,2.3,0.747,14.2,77.4
Botswana,Developing,256,2,95,0,37.9,2,96,95,2.2,6532.651,229197,6.4,6.1,0.698,12.6,65.7
Brazil,Developing,142,42,96,214,56.1,47,98,96,0.1,8757.2622,2596218,2.7,2.6,0.754,15.2,75
Brunei Darussalam,Developing,78,0,99,4,41.2,0,99,99,0.1,3967.8951,418002,5.7,5.1,0.864,14.9,77.7
Bulgaria,Developed,137,0,92,0,65.7,1,91,91,0.1,6993.47736,7177991,1.9,1.8,0.792,15,74.5
Cambodia,Developing,174,10,89,0,19.6,12,87,89,0.2,1163.18977,15517635,1.9,1.9,0.558,10.9,68.7
Canada,Developing,64,2,55,195,67,2,91,91,0.1,43315.744,3584861,0.6,0.5,0.919,16.3,82.2
Central African Republic,Developing,397,15,47,150,22.7,21,47,47,4.4,348.381417,45461,8.2,8.2,0.347,7.1,52.5
Chad,Developing,356,46,46,418,19.1,77,52,46,2.8,777.248751,149413,8.5,8.4,0.394,7.3,53.1
Chile,Developing,82,2,97,9,63.8,2,96,96,0.1,13653.2264,17762681,0.8,0.8,0.845,16.3,85
China,Developing,85,157,99,42361,32.9,183,99,99,0.1,869.211938,137122,3.6,2.9,0.734,13.5,76.1
Colombia,Developing,143,10,91,1,57.9,12,91,91,0.1,644.525556,48228697,2.1,1.9,0.724,13.6,74.8
Comoros,Developing,227,1,91,0,24.2,2,92,91,0.8,727.6463868,777424,6.7,6.5,0.498,11.1,63.5
Costa Rica,Developing,95,1,92,0,6.5,1,92,92,0.1,1146.36273,487852,1.7,1.7,0.775,14.2,79.6
Croatia,Developed,95,0,94,206,63.7,0,94,94,0.1,11579.6674,42364,1.5,1.4,0.823,15.3,78
Cuba,Developing,92,1,99,0,61.4,1,99,99,0.1,762.261218,11239004,3.5,3.3,0.773,13.9,79.1
Cyprus,Developed,52,0,97,0,6.3,0,97,97,0.1,2375.1127,116985,1,1,0.854,14.3,85
Denmark,Developed,71,0,66,9,58.8,0,93,93,0.1,5314.64416,5683483,1.1,0.9,0.923,19.2,86
Ecuador,Developing,118,6,78,0,54.2,7,84,78,0.1,625.62224,16144368,1.2,1.1,0.739,14,76.2
