Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
No,Graduate,5849,,1,Y
Yes,Graduate,4583,128,1,N
Yes,Graduate,3000,66,1,Y
Yes,Not Graduate,2583,120,1,Y
No,Graduate,6000,141,1,Y
Yes,Graduate,5417,267,1,Y
Yes,Not Graduate,2333,95,1,Y
Yes,Graduate,3036,158,0,N
Yes,Graduate,4006,168,1,Y
Yes,Graduate,12841,349,1,N
Yes,Graduate,3200,70,1,Y
Yes,Graduate,2500,109,1,Y
Yes,Graduate,3073,200,1,Y
No,Graduate,1853,114,1,N
Yes,Graduate,1299,17,1,Y
No,Graduate,4950,125,1,Y
No,Not Graduate,3596,100,,Y
No,Graduate,3510,76,0,N
Yes,Not Graduate,4887,133,1,N
Yes,Graduate,2600,115,1,Y
Yes,Not Graduate,7660,104,0,N
Yes,Graduate,5955,315,1,Y
Yes,Not Graduate,2600,116,0,N
Yes,Not Graduate,3365,112,0,N
Yes,Graduate,3717,151,,N
Yes,Graduate,9560,191,1,Y
Yes,Graduate,2799,122,1,Y
Yes,Not Graduate,4226,110,1,Y
No,Not Graduate,1442,35,1,N
No,Graduate,3750,120,1,Y
Yes,Graduate,4166,201,,N
No,Graduate,3167,74,1,N
No,Graduate,4692,106,1,N
Yes,Graduate,3500,114,1,Y
No,Graduate,12500,320,1,N
Yes,Graduate,2275,,1,Y
Yes,Graduate,1828,100,0,N
Yes,Graduate,3667,144,1,Y
No,Graduate,4166,184,1,Y
No,Not Graduate,3748,110,1,Y
No,Graduate,3600,80,1,N
No,Graduate,1800,47,1,Y
Yes,Graduate,2400,75,,Y
Yes,Graduate,3941,134,1,Y
Yes,Not Graduate,4695,96,1,Y
No,Graduate,3410,88,1,Y
Yes,Graduate,5649,44,1,Y
Yes,Graduate,5821,144,1,Y
Yes,Graduate,2645,120,0,N
No,Graduate,4000,144,1,Y
Yes,Not Graduate,1928,100,1,Y
No,Graduate,3086,120,1,Y
No,Graduate,4230,112,1,N
Yes,Graduate,4616,134,1,N
Yes,Graduate,11500,286,0,N
Yes,Graduate,2708,97,1,Y
Yes,Graduate,2132,96,1,Y
Yes,Graduate,3366,135,1,N
Yes,Graduate,8080,180,1,Y
Yes,Not Graduate,3357,144,1,Y
Yes,Graduate,2500,120,1,Y
Yes,Graduate,3029,99,1,Y
Yes,Not Graduate,2609,165,0,N
Yes,Graduate,4945,,0,N
No,Graduate,4166,116,0,N
Yes,Graduate,5726,258,1,N
No,Not Graduate,3200,126,0,N
Yes,Graduate,10750,312,1,Y
Yes,Not Graduate,7100,125,1,Y
No,Graduate,4300,136,0,N
Yes,Graduate,3208,172,1,Y
Yes,Not Graduate,1875,97,1,Y
No,Graduate,3500,81,1,Y
Yes,Not Graduate,4755,95,0,N
Yes,Graduate,5266,187,1,Y
No,Graduate,3750,113,1,N
No,Graduate,3750,176,1,N
Yes,Graduate,1000,110,1,N
Yes,Graduate,3167,180,0,N
Yes,Not Graduate,3333,130,,Y
No,Graduate,3846,111,1,Y
Yes,Graduate,2395,,1,Y
Yes,Graduate,1378,167,1,N
Yes,Graduate,6000,265,,N
Yes,Graduate,3988,50,1,Y
No,Graduate,2366,136,1,Y
Yes,Not Graduate,3333,99,,Y
Yes,Graduate,2500,104,1,Y
No,Graduate,8566,210,1,Y
Yes,Graduate,5695,175,1,Y
Yes,Graduate,2958,131,1,Y
Yes,Graduate,6250,188,1,Y
Yes,Not Graduate,3273,81,1,Y
No,Graduate,4133,122,1,Y
No,Not Graduate,3620,25,1,Y
No,Graduate,6782,,,N
Yes,Graduate,2484,137,1,Y
Yes,Graduate,1977,50,1,Y
Yes,Not Graduate,4188,115,1,Y
Yes,Graduate,1759,131,1,Y
Yes,Not Graduate,4288,133,1,Y
No,Graduate,4843,151,1,Y
Yes,Graduate,13650,,1,Y
Yes,Graduate,4652,,1,Y
,Graduate,3816,160,1,Y
Yes,Graduate,3052,100,1,Y
Yes,Graduate,11417,225,1,Y
No,Not Graduate,7333,120,1,N
Yes,Graduate,3800,216,0,N
Yes,Not Graduate,2071,94,1,Y
No,Graduate,5316,136,1,Y
Yes,Graduate,2929,139,1,Y
Yes,Not Graduate,3572,152,0,N
No,Graduate,7451,,1,Y
No,Graduate,5050,118,1,Y
Yes,Graduate,14583,185,1,Y
Yes,Graduate,3167,154,1,Y
Yes,Graduate,2214,85,,Y
Yes,Graduate,5568,175,1,N
No,Graduate,10408,259,1,Y
Yes,Graduate,5667,180,1,Y
No,Graduate,4166,44,1,Y
No,Graduate,2137,137,0,Y
Yes,Graduate,2957,81,1,Y
Yes,Not Graduate,4300,194,1,Y
No,Graduate,3692,93,,Y
Yes,Graduate,23803,370,1,Y
No,Graduate,3865,,1,Y
Yes,Graduate,10513,160,0,N
Yes,Graduate,6080,182,,N
No,Graduate,20166,650,,Y
No,Graduate,2014,74,1,Y
No,Graduate,2718,70,1,Y
Yes,Graduate,3459,25,1,Y
No,Graduate,4895,102,1,Y
Yes,Graduate,4000,290,1,N
Yes,Graduate,4583,84,1,N
Yes,Graduate,3316,88,1,Y
No,Graduate,14999,242,0,N
Yes,Not Graduate,4200,129,1,N
Yes,Graduate,5042,185,1,N
No,Graduate,5417,168,1,Y
No,Graduate,6950,175,1,Y
Yes,Graduate,2698,122,1,Y
Yes,Graduate,11757,187,1,Y
Yes,Graduate,2330,100,1,Y
Yes,Graduate,14866,70,1,Y
Yes,Graduate,1538,30,1,Y
No,Graduate,10000,225,1,N
Yes,Graduate,4860,125,1,Y
No,Graduate,6277,118,0,N
Yes,Graduate,2577,152,1,Y
No,Graduate,9166,244,1,N
Yes,Not Graduate,2281,113,1,N
No,Graduate,3254,50,1,Y
Yes,Graduate,39999,600,0,Y
Yes,Graduate,6000,160,,Y
Yes,Graduate,9538,187,1,Y
No,Graduate,2980,120,1,Y
Yes,Graduate,4583,255,1,Y
Yes,Not Graduate,1863,98,1,Y
Yes,Graduate,7933,275,1,N
Yes,Graduate,3089,121,0,N
Yes,Graduate,4167,158,1,Y
Yes,Graduate,9323,75,1,Y
Yes,Graduate,3707,182,1,Y
Yes,Graduate,4583,112,1,N
Yes,Graduate,2439,129,1,Y
