,Source,Dest,Distance(Km)
0,BLR,DEL,1709.71
1,CCU,IXR,327.84
2,IXR,BBI,344.54
3,BBI,BLR,1166.17
4,DEL,LKO,423.41
5,LKO,BOM,1183.56
6,BOM,COK,1064.36
7,CCU,NAG,985.16
8,NAG,BLR,889.55
9,NAG,DEL,853.49
10,CCU,BLR,1547.27
11,BLR,BOM,834.63
12,BOM,DEL,1137.24
13,BLR,COK,367.38
14,MAA,CCU,1387.26
15,CCU,BOM,1665.73
16,DEL,AMD,755.49
17,AMD,BOM,444.1
18,DEL,PNQ,1155.94
19,PNQ,COK,974.84
20,DEL,CCU,1312.96
21,COK,DEL,2048.6
22,DEL,IDR,662.01
23,IDR,BOM,505.97
24,LKO,COK,1906.52
25,CCU,GAU,498.44
26,GAU,DEL,1456.73
27,NAG,BOM,682.82
28,MAA,BLR,267.36
29,DEL,HYD,1267.53
30,HYD,COK,817.18
31,CCU,HYD,1207.74
32,HYD,BLR,455.14
33,DEL,MAA,1761.53
34,MAA,COK,516.8
35,BOM,HYD,623.54
36,DEL,BHO,586.78
37,BHO,BOM,657.81
38,DEL,JAI,229.75
39,JAI,BOM,912.13
40,DEL,ATQ,414.04
41,ATQ,BOM,1416.69
42,DEL,JDH,474.74
43,JDH,BOM,796.77
44,CCU,BBI,381.8
45,BBI,BOM,1361.77
46,DEL,GOI,1503.61
47,GOI,BOM,425.22
48,DEL,BDQ,793.36
49,BDQ,BOM,363.06
50,CCU,JAI,1356.15
51,DEL,TRV,2233.08
52,TRV,COK,194.16
53,IXR,DEL,1008.22
54,DEL,IXU,982.17
55,IXU,BOM,278.96
56,CCU,IXB,447.74
57,IXB,BLR,1864.01
58,DEL,UDR,541.49
59,UDR,BOM,623.9
60,HYD,MAA,507.74
61,GOI,BLR,482.92
62,DEL,RPR,944.7
63,RPR,NAG,279.36
64,AMD,BLR,1222.27
65,CCU,PNQ,1577.74
66,PNQ,BLR,722.83
67,AMD,COK,1492.4
68,BLR,LKO,1544.61
69,GAU,BLR,2040.03
70,GOI,HYD,532.32
71,DEL,DED,209.79
72,DED,BOM,1345.8
73,MAA,BOM,1034.14
74,BLR,VGA,498.01
75,VGA,DEL,1390.67
76,CCU,AMD,1620.04
77,CCU,VNS,646.62
78,VNS,DEL,667.53
79,BBI,DEL,1277.3
80,AMD,ISK,366.96
81,ISK,HYD,574.61
82,DEL,IXC,237.1
83,IXC,BOM,1347.42
84,CCU,PAT,471.55
85,PAT,BLR,1580.14
86,BBI,HYD,846.81
87,BOM,JLR,872.86
88,JLR,HYD,682.87
89,HYD,VGA,263.7
90,CCU,KNU,912.87
91,KNU,BLR,1495.66
92,BOM,PNQ,124.36
93,BBI,COK,1509.6
94,JDH,JAI,283.07
95,DEL,GWL,275.63
96,GWL,IDR,467.09
97,CCU,RPR,711.0
98,RPR,HYD,560.09
99,CCU,VTZ,773.32
100,VTZ,BLR,776.44
101,TRV,BLR,531.47
102,BOM,NDC,467.68
103,NDC,HYD,247.27
104,BLR,BDQ,1121.54
105,BOM,TRV,1258.22
106,BOM,HBX,477.0
107,HBX,BLR,371.15
108,BLR,IDR,1078.29
109,CCU,IXZ,1307.05
110,IXZ,MAA,1373.46
111,GAU,IMF,276.29
112,IMF,DEL,1721.21
113,GOI,PNQ,356.01
114,PNQ,HYD,500.87
115,VGA,VTZ,289.73
116,VTZ,DEL,1358.05
117,CCU,IXA,316.9
118,IXA,BLR,1855.34
119,BOM,RPR,954.99
120,RPR,VTZ,415.2
121,VTZ,HYD,511.31
122,BLR,STV,1026.37
123,STV,DEL,936.58
124,IXB,DEL,1126.2
125,BOM,VNS,1247.63
