Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,3735.138,11.5
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,443.4228,14.3
FDN15,17.5,Low Fat,0.016760075,Meat,141.6,OUT049,1999,Medium,Tier 2,Supermarket Type1,2097.27,14.5
FDX07,19.2,Regular,0,Fruits and Vegetables,182.1,OUT010,1998,,,Grocery Store,732.38,13.6
NCD19,8.93,Low Fat,0,Household,53.9,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,14.1
FDP36,10.395,Regular,0,Baking Goods,51.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,556.6088,9.5
FDO10,13.65,Regular,0.012741089,Snack Foods,57.7,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,8.8
FDP10,,Low Fat,0.127469857,Snack Foods,107.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,4022.7636,13.3
FDH17,16.2,Regular,0.016687114,Frozen Foods,97,OUT045,2002,,,Supermarket Type1,1076.5986,13
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8,OUT017,2007,,  --,Supermarket Type1,4710.535,13.6
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,1516.0266,14.3
FDA03,18.5,Regular,0.045463773,Dairy,144.1,OUT046,1997,Small,Tier1,Supermarket Type1,2187.153,14.3
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,1589.2646,14.6
FDS46,17.6,Regular,0.047257328,Snack Foods,119.7,OUT046,1997,Small,Tier1,Supermarket Type1,2145.2076,14.1
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,13.5
FDP49,9,Regular,0.069088961,Breakfast,56.4,OUT046,1997,Small,Tier1,Supermarket Type1,1547.3192,13
